"Permanent Call Number","Location Name","PLACE_CODE","BEGIN_PUB_DATE","Title","Age","Region"
"F1896.N4 D8 1946","3rd Floor","nyu",1946.0,"Katherine Dunham's Journey to Accompong /",75.0,"North America"
"F1408.3 .H4513","Main Collection Storage","nyu",1966.0,"A concise history of Latin American culture.",55.0,"North America"
"F1435.1.C7 F37 2001","3rd Floor","enk",2001.0,"Scribes, warriors and kings : the city of Copa?n and the ancient Maya /",20.0,"Europe"
"F1219.73 .O94 2017","3rd Floor","nyu",2017.0,"The Oxford handbook of the Aztecs /",4.0,"North America"
"F3169 .D45 2015","3rd Floor","hiu",2015.0,"Articulating Rapa Nui : Polynesian cultural politics in a Latin American nation-state /",6.0,"North America"
"F1971 .P5313 2006","3rd Floor","nju",2006.0,"History of Puerto Rico : a panorama of its people /",15.0,"North America"
"F1435 .L38 1986","Main Collection Storage","nmu",1986.0,"Late Lowland Maya civilization : classic to postclassic /",35.0,"North America"
"F2849 .P37 A4 1978","3rd Floor","enk",1978.0,"Evita by Evita ; Eva Duarte Pero?n tells her own story.",43.0,"Europe"
"F1545.3 A7 B47","3rd Floor","nyu",1981.0,"Between continents/between seas : Precolumbian art of Costa Rica /",40.0,"North America"
"F1219 .L85813 2001","3rd Floor","oku",2001.0,"Mexico's indigenous past /",20.0,"North America"
"F1221.N3 M46 2008","3rd Floor","mx",2008.0,"Cuauhna?huac 1450-1675, su historia indi?gena y documentos en 'mexicano' : cambio y continuidad de una cultura nahua /",13.0,"North America"
"F1923.T69 W35 2013","3rd Floor","inu",2013.0,"Free and French in the Caribbean : Toussaint Louverture, Aime? Ce?saire, and narratives of loyal opposition /",8.0,"North America"
"F1435 .P48 1987","Main Collection Storage","cau",1987.0,"The Periphery of the southeastern classic Maya realm /",34.0,"North America"
"F1030 .W952 1970","Main Collection Storage","nyu",1970.0,"The rise and fall of New France.",51.0,"North America"
"F2277 .G74 2003","3rd Floor","flu",2003.0,"Gaitanismo, left liberalism, and popular mobilization in Colombia /",18.0,"North America"
"F1412 .B96 1998","3rd Floor","nyu",1998.0,"Colonial Latin America /",23.0,"North America"
"F1435.3.P7 N37 2001","3rd Floor","nyu",2001.0,"Mayan visions : the quest for autonomy in an age of globalization /",20.0,"North America"
"F1466.5 .S52 2001","3rd Floor","ctu",2001.0,"Culture and customs of Guatemala /",20.0,"North America"
"F1410 .B175 2004","3rd Floor","mau",2004.0,"A history of Latin America : c. 1450 to the present /",17.0,"North America"
"F1230 .I5 1969b","3rd Floor","enk",1969.0,"The Conquistadors /",52.0,"Europe"
"F1566.5 .M5","3rd Floor","ilu",1971.0,"The United States in Panamanian politics, the intriguing formative years",50.0,"North America"
"F1435 .M75 1983","3rd Floor","cau",1983.0,"The ancient Maya /",38.0,"North America"
"F1215 .B42 1982","3rd Floor","enk",1982.0,"A visit to Don Otavio : a traveller's tale from Mexico /",39.0,"Europe"
"F1219.R45 T6 1991","3rd Floor","cou",1991.0,"To change place : Aztec ceremonial landscapes /",30.0,"North America"
"F2277 .R29 1999","3rd Floor","flu",1999.0,"Colombia : territorial rule and the Llanos frontier /",22.0,"North America"
"F1221 .T9 P46 1988","Main Collection Storage","dcu",1988.0,"The people of the bat : Mayan tales and dreams from Zinacanta?n /",33.0,"North America"
"F1941.A1 S34 2000","3rd Floor","flu",2000.0,"Race and politics in the Dominican Republic /",21.0,"North America"
"F1234 .H3 1988","3rd Floor","cau",1987.0,"Revolutionary Mexico : the coming and process of the Mexican Revolution /",34.0,"North America"
"F2523 .Y68 1982","3rd Floor","flu",1982.0,"Brazil, emerging world power /",39.0,"North America"
"F3001.9 .G3 N48","Main Collection Storage","txu",1977.0,"German Buenos Aires, 1900-1933 : social change and cultural crisis /",44.0,"North America"
"F1219.76.R45 G845 1999","3rd Floor","mx",1999.0,"Ofrendas a Ehe?catl-Quetzalco?atl en Mexico-Tlatelolco : Proyecto Tlatelolco, 1987-1996 /",22.0,"North America"
"F1221 .L2 B78 1975","Main Collection Storage","mx",1979.0,"Lacandon dream symbolism : dream symbolism and interpretation among the Lacandon Mayas of Chiapas, Mexico /",42.0,"North America"
"F1439.5 .D45 1997","3rd Floor","flu",1997.0,"Democratic transitions in Central America /",24.0,"North America"
"F1219.76.F86 C43 2007","3rd Floor","mx",2007.0,"Rituales funerarios en el Templo Mayor de Tenochtitlan /",14.0,"North America"
"F3429.3.M8 R46 2005","3rd Floor","dcu",2005.0,"The Ice Maiden : Inca mummies, mountain gods, and sacred sites in the Andes /",16.0,"North America"
"F3429.1.C48 B87 1984","3rd Floor","cau",1984.0,"The prehistoric occupation of Chavi?n de Hua?ntar, Peru /",37.0,"North America"
"F1219 .R662 1974","Main Collection Storage","cau",1974.0,"Happy songs, bleeding hearts.",47.0,"North America"
"F1789.N3 C33 1988","3rd Floor","flu",1994.0,"Cultura afrocubana /",27.0,"North America"
"F1488.3 .B55 1996","3rd Floor","azu",1996.0,"The El Mozote massacre : anthropology and human rights /",25.0,"North America"
"F2191 .B55 M56","Main Collection Storage","pau",1976.0,"An anthropological approach to the Afro-American past : a Caribbean perspective /",45.0,"North America"
"F1975 .C54","3rd Floor","pau",1975.0,"Puerto Rico and the United States, 1917-1933 /",46.0,"North America"
"F1210 .V58 2001","3rd Floor","deu",2001.0,"Viva Mexico! Viva la independencia! : celebrations of September 16 /",20.0,"North America"
"F2176 .A52 1984","Main Collection Storage","nyu",1984.0,"Geopolitics of the Caribbean : ministates in a wider world /",37.0,"North America"
"F1209 .B37 1986","Main Collection Storage","nyu",1986.0,"The Pacific coast of Mexico from Mazatla?n to Ixtapa-Zihuatanejo : a traveler's guide /",35.0,"North America"
"F1219.73 .T68 2009","3rd Floor","enk",2009.0,"The Aztecs /",12.0,"Europe"
"F3429 .V55 1998","3rd Floor","nyu",1998.0,"The cities of the ancient Andes /",23.0,"North America"
"F1030.7 .L43 2012","3rd Floor","pau",2012.0,"The Catholic calumet : colonial conversions in French and Indian North America /",9.0,"North America"
"F1566.3 .A53 1977","Main Collection Storage","dcu",1977.0,"The Panama Canal : Isthmian political instability from 1821 to 1977 /",44.0,"North America"
"F1975 .R645 2007","3rd Floor","pr",2007.0,"Strategy as politics : Puerto Rico on the eve of the Second World War /",14.0,"West Indies"
"F3430.1.M6 M875 2002","3rd Floor","pe",2002.0,"Museo Tumbas Reales de Sipa?n : memoria inaugural, noviembre 2002.",19.0,"South America"
"F1787 .W652 H5","Main Collection Storage","ne",1971.0,"Leonard Wood and Cuban independence, 1898-1902.",50.0,"Europe"
"F3100 .D413","Main Collection Storage","enk",1971.0,"Conversations with Allende: socialism in Chile;",50.0,"Europe"
"F1435.3.P8 K47 1989","3rd Floor","nyu",2000.0,"The Maya vase book : a corpus of rollout photographs of Maya vases /",21.0,"North America"
"F2538 .W55 2001","3rd Floor","ncu",2001.0,"Culture wars in Brazil : the first Vargas Regime, 1930-1945 /",20.0,"North America"
"F2668 .N53 1999","3rd Floor","enk",1999.0,"Paraguay /",22.0,"Europe"
"F3429.3.S6 .R683 2006","3rd Floor","pe",2006.0,"Ensayos de historia andina.",15.0,"South America"
"F2986.B87 H38 2001","3rd Floor","nyu",2001.0,"Savage : the life and times of Jemmy Button /",20.0,"North America"
"F3320.2.S5 S3","Main Collection Storage","nju",1971.0,"A study in structural semantics: the Siriono kinship system",50.0,"North America"
"F1235 .P44 1978","3rd Floor","mx",1981.0,"El afianzamiento de la estabilidad poli?tica /",40.0,"North America"
"F3429.3 .P8 M86 1981","3rd Floor","nyu",1981.0,"Museums of the Andes /",40.0,"North America"
"F1435.3.E72 L64 2010","3rd Floor","onc",2011.0,"Maya or mestizo? : nationalism, modernity, and its discontents /",10.0,"North America"
"F1788.22.C3 M32 1970","3rd Floor","nyu",1969.0,"Fidel Castro,",52.0,"North America"
"F2631 .A58 1991","3rd Floor","wiu",1991.0,"Blacks & whites in Sa?o Paulo, Brazil, 1888-1988 /",30.0,"North America"
"F3031 .C34 1982","Main Collection Storage","nyu",1982.0,"The Falklands crisis : the rights and the wrongs /",39.0,"North America"
"F1414.2 .W55 2002","3rd Floor","ncu",2002.0,"The other side of the popular : neoliberalism and subalternity in Latin America /",19.0,"North America"
"F1030 .H3813 2001","3rd Floor","quc",2001.0,"The Great Peace of Montreal of 1701 : French-native diplomacy in the seventeenth century /",20.0,"North America"
"F1439.5 .W46 1984","Main Collection Storage","ilu",1984.0,"Catastrophe in the Caribbean : the failure of America's human rights policy in Central America /",37.0,"North America"
"F1246 .S84","Main Collection Storage","cau",1973.0,"Baja California: Jewish refuge and homeland,",48.0,"North America"
"F1231 .B448 1962","Main Collection Storage","mx",1962.0,"Los primeros Mexicanos : la vida criolla en el siglo XVI /",59.0,"North America"
"F2728 .B357","Main Collection Storage","mau",1963.0,"Jose? Batlle y Ordon?ez of Uruguay; the creator of his times, 1902-1907.",58.0,"North America"
"F1414.3 .D425 2013","3rd Floor","ncu",2013.0,"Wars of Latin America, 1982-2013 : the path to peace /",8.0,"North America"
"F1219.8.O56 T37 2012","3rd Floor","txu",2012.0,"Reconsidering Olmec visual culture : the unborn, women, and creation /",9.0,"North America"
"F3429.3.R3 E5 1994","3rd Floor","pe",1994.0,"En el nombre del sen?or : shamanes, demonios y curanderos del norte del Peru? /",27.0,"South America"
"F1221.S43 B69 2000","3rd Floor","nmu",2000.0,"Unknown island : Seri Indians, Europeans, and San Esteban Island in the Gulf of California /",21.0,"North America"
"F3429.1.A9 S75 1993","3rd Floor","wiu",1993.0,"Peru's Indian peoples and the challenge of Spanish conquest : Huamanga to 1640 /",28.0,"North America"
"F1435.3 .R3 B73","3rd Floor","txu",1981.0,"The Indian Christ, the Indian king : the historical substrate of Maya myth and ritual /",40.0,"North America"
"F1208 E9","Main Collection Storage","azu",1966.0,"Six faces of Mexico : history, people, geography, government, economy, literature & art /",55.0,"North America"
"F1219.76.R45 A98 1987","3rd Floor","dcu",1987.0,"The Aztec Templo Mayor : a symposium at Dumbarton Oaks, 8th and 9th October 1983 /",34.0,"North America"
"F1219 S1366 S58","3rd Floor","nmu",1974.0,"Sixteenth-century Mexico : the work of Sahagu?n /",47.0,"North America"
"F1026 .S73 1986","Main Collection Storage","bcc",1986.0,"The origins of Canadian politics : a comparative approach /",35.0,"North America"
"F1435 .S54 1996","3rd Floor","ctu",1996.0,"Daily life in Maya civilization /",25.0,"North America"
"F1435 .B63 B78","Main Collection Storage","nmu",1976.0,"Frans Blom, Maya explorer /",45.0,"North America"
"F2326 .K64","3rd Floor","ctu",1974.0,"Democracy and dictatorship in Venezuela, 1945-1958,",47.0,"North America"
"F1435 .L85 1966","Main Collection Storage","nyu",1966.0,"Footloose scientist in Mayan America.",55.0,"North America"
"F1219.3.A7 C58","3rd Floor","nyu",1957.0,"Indian art of Mexico and Central America /",64.0,"North America"
"F3429.1.H828 S375 1992","3rd Floor","miu",1992.0,"Wari imperialism in Middle Horizon Peru /",29.0,"North America"
"F1465 .M3 1979","Main Collection Storage","miu",1979.0,"A glimpse at Guatemala, and some notes on the ancient monuments of Central America /",42.0,"North America"
"F1436.8 .U6 C46 1985","3rd Floor","deu",1985.0,"The Central American crisis : sources of conflict and the failure of U.S. policy /",36.0,"North America"
"F1435.3.P7 D88 2017","3rd Floor","oku",2017.0,"Maya caciques in early national Yucata?n /",4.0,"North America"
"F1619.3.G3 A54 1983","Main Collection Storage","ctu",1983.0,"Ball courts and ceremonial plazas in the West Indies /",38.0,"North America"
"F1208 .P18","3rd Floor","dcu",1911.0,"Mexico; a general sketch,",110.0,"North America"
"F1923 .G25 2006","3rd Floor","nyu",2006.0,"Before Haiti : race and citizenship in French Saint-Domingue /",15.0,"North America"
"F3429.3.S6 F5813 2010","3rd Floor","nyu",2010.0,"In search of an Inca : identity and utopia in the Andes /",11.0,"North America"
"F1435 .D74 1999","3rd Floor","cau",1999.0,"The lost chronicles of the Maya kings /",22.0,"North America"
"F1435.3.P75 S5613 2010","3rd Floor","sz",2015.0,"Archaeology and bioarchaeology of population movement among the prehispanic Maya /",6.0,"Europe"
"F1938.25.H2 M38 2003","3rd Floor","nyu",2003.0,"Haitian-Dominican counterpoint : nation, state, and race on Hispaniola /",18.0,"North America"
"F1034.2 .B667 2007","3rd Floor","bcc",2007.0,"Alliance and illusion : Canada and the world, 1945-1984 /",14.0,"North America"
"F2517 .T48 1990","Main Collection Storage","mnu",1990.0,"The saddest pleasure : a journey on two rivers : a memoir /",31.0,"North America"
"F1969 .F48","Main Collection Storage","dcu",1907.0,"The aborigines of Porto Rico and neighboring islands,",114.0,"North America"
"F1787.5 .B66 1974","Main Collection Storage","nju",1974.0,"The Cuban insurrection, 1952-1959",47.0,"North America"
"F1971 .W3","Main Collection Storage","nyu",1973.0,"The Puerto Ricans : a documentary history.",48.0,"North America"
"F1230 .G58 1983","3rd Floor","mdu",1983.0,"Machismo and conquest : the case of Mexico /",38.0,"North America"
"F1776 .G68 2004","3rd Floor","ctu",2004.0,"Cuba : a new history /",17.0,"North America"
"F2516 .B1613 1958","3rd Floor","enk",1958.0,"Brazil in pictures /",63.0,"Europe"
"F1233 .S84","Main Collection Storage","nyu",1899.0,"Maximilian in Mexico; a woman's reminiscences of the French intervention, 1862-1867",122.0,"North America"
"F1436.8.U6 L33 1993","3rd Floor","nyu",1993.0,"Inevitable revolutions : the United States in Central America /",28.0,"North America"
"F1765 .W9","3rd Floor","nyu",1928.0,"When it's cocktail time in Cuba ...",93.0,"North America"
"F1210 .P32 1971","3rd Floor","mx",1971.0,"Posdata /",50.0,"North America"
"F2519.1.A6 F53 1985","Main Collection Storage","txu",1985.0,"Five Amazonian studies : on world view and cultural change /",36.0,"North America"
"F1376 .D86 1997","3rd Floor","nbu",1997.0,"The machete and the cross : campesino rebellion in Yucatan /",24.0,"North America"
"F1923 .O87","3rd Floor","tnu",1973.0,"The Haitian revolution, 1789-1804,",48.0,"North America"
"F1434.2.M36 C68 1991","3rd Floor","nyu",1991.0,"Faces of eternity : masks of the Pre-Columbian Americas /",30.0,"North America"
"F1418 .U715 1988","Main Collection Storage","nbu",1988.0,"United States policy in Latin America : a quarter century of crisis and challenge, 1961-1986 /",33.0,"North America"
"F2217 .G4 1985","Main Collection Storage","enk",1985.0,"Generals in retreat : the crisis of military rule in Latin America /",36.0,"Europe"
"F1219 .B845 1987","3rd Floor","nyu",1987.0,"Everyday life of the Aztecs /",34.0,"North America"
"F1392.B55 C37 1991","3rd Floor","txu",1991.0,"Blacks in colonial Veracruz : race, ethnicity, and regional development /",30.0,"North America"
"F1410 .C727 2008","3rd Floor","mau",2008.0,"A companion to Latin American history /",13.0,"North America"
"F1567 .B44 1990","3rd Floor","cau",1990.0,"Invasion : the American destruction of the Noriega regime in Panama /",31.0,"North America"
"F1465.2.J3 M65 1991","3rd Floor","ctu",1991.0,"The bird who cleans the world : and other Mayan fables /",30.0,"North America"
"F2537 .L472 1997","3rd Floor","nyu",1997.0,"Brazilian legacies /",24.0,"North America"
"F1230 .D53 2003","3rd Floor","mau",2003.0,"The discovery and conquest of Mexico, 1517-1521 /",18.0,"North America"
"F1038 .C53","Main Collection Storage","wiu",1968.0,"Acadia; the geography of early Nova Scotia to 1760.",53.0,"North America"
"F1261 .A36 1994","3rd Floor","mx",1994.0,"Breve historia de Chihuahua /",27.0,"North America"
"F1886 .P35 2014","3rd Floor","ncu",2014.0,"Freedom's children : the 1938 labor rebellion and the birth of modern Jamaica /",7.0,"North America"
"F1219 .E8","3rd Floor","mx",1959.0,"Estudios de cultura na?huatl.",62.0,"North America"
"F3321 .K54 1982","Main Collection Storage","nyu",1982.0,"Bolivia, the evolution of a multi-ethnic society /",39.0,"North America"
"F1219.1 .M66 M44","Main Collection Storage","cau",1972.0,"Archaeology of the Morett Site, Colima /",49.0,"North America"
"F1412 .B96 1990","Main Collection Storage","nyu",1990.0,"Colonial Latin America /",31.0,"North America"
"F1219 .K436 2001","3rd Floor","oku",2001.0,"An archaeological guide to central and southern Mexico /",20.0,"North America"
"F1411.S6973 M85 1994","3rd Floor","pau",1994.0,"The Americas in the Spanish world order : the justification for conquest in the seventeenth century /",27.0,"North America"
"F3101.E33 A3413 1993","3rd Floor","nyu",1993.0,"Persona non grata : a memoir of disenchantment with the Cuban Revolution /",28.0,"North America"
"F1435.1.Y89 S85 2004","3rd Floor","pau",2004.0,"Xuxub must die : the lost histories of a murder on the Yucatan /",17.0,"North America"
"F1030.1 .M6","Main Collection Storage","mau",1972.0,"Samuel de Champlain, Father of New France /",49.0,"North America"
"F1221.M7 R33 2007","3rd Floor","mx",2007.0,"Raices mixtecas /",14.0,"North America"
"F3094 .035517","3rd Floor","nyu",1969.0,"Bernardo O'Higgins and the independence of Chile /",52.0,"North America"
"F2519.1.M4 O23 1979","Main Collection Storage","nyu",1979.0,"Indian tribes of northern Mato Grosso, Brazil /",42.0,"North America"
"F2810 .A646 2002","3rd Floor","ncu",2002.0,"The Argentina reader : history, culture, and society /",19.0,"North America"
"F1788.22.C3 M413","Main Collection Storage","nyu",1968.0,"Fidel Castro.",53.0,"North America"
"F1414.2 .G77 1994","3rd Floor","nyu",1994.0,"The heart that bleeds : Latin America now /",27.0,"North America"
"F1783 .M38 J67 1986","3rd Floor","ncu",1986.0,"Jose? Marti?, revolutionary democrat /",35.0,"North America"
"F1021 .M346","Main Collection Storage","quc",1979.0,"A disciplined intelligence : critical inquiry and Canadian thought in the Victorian era /",42.0,"North America"
"F2081 .H43","Main Collection Storage","nyu",1890.0,"Two years in the French West Indies,",131.0,"North America"
"F1246 .L5613","3rd Floor","cau",1966.0,"Wenceslaus Linck's diary of his 1766 expedition to northern Baja California / translated into English, edited, and annotated by Ernest J. Burrus.",55.0,"North America"
"F1219.3.R38 M47 2001","3rd Floor","txu",2001.0,"Mesoamerican healers /",20.0,"North America"
"F1763 .A13 1971","Main Collection Storage","nyu",1971.0,"Letters written in the interior of Cuba.",50.0,"North America"
"F1435.3.A6 C64 2012","3rd Floor","nyu",2012.0,"Royal cities of the ancient Maya /",9.0,"North America"
"F1436.8.G3 S3 1998","3rd Floor","alu",1998.0,"Germany in Central America : competitive imperialism, 1821-1929 /",23.0,"North America"
"F2161 .F58","Main Collection Storage","nmu",1973.0,"The Columbus dynasty in the Caribbean, 1492-1526 /",48.0,"North America"
"F1034.2 .N43 1969","Main Collection Storage","nyu",1969.0,"A nation divided; Canada and the coming of Pierre Trudeau",52.0,"North America"
"F1219 .D2782","Main Collection Storage","oku",1980.0,"The Toltec heritage : from the fall of Tula to the rise of Tenochtitla?n /",41.0,"North America"
"F1230 .F9","3rd Floor","nyu",1963.0,"The conquistadors: first-person accounts of the conquest of Mexico /",58.0,"North America"
"F1921 .R74","3rd Floor","mau",1971.0,"Haiti : the Politics of Squalor /",50.0,"North America"
"F1030 .T8313","Main Collection Storage","onc",1973.0,"The beginnings of New France, 1524-1663.",48.0,"North America"
"F3444 .G318","Main Collection Storage","nyu",1969.0,"El Inca Garcilaso de la Vega /",52.0,"North America"
"F1232 .H63 1973","3rd Floor","nyu",1973.0,"The life and times of Miguel Hidalgo y Costilla,",48.0,"North America"
"F1219.1 .T27 F43 1988","3rd Floor","cau",1988.0,"Feathered serpents and flowering trees : reconstructing the murals of Teotihuaca?n /",33.0,"North America"
"F1210 S35","Main Collection Storage","txu",1978.0,"The roots of lo mexicano : self and society in Mexican thought, 1900-1934 /",43.0,"North America"
"F2230.1 .T63 W55 1987","Main Collection Storage","ctu",1987.0,"Tobacco and shamanism in South America /",34.0,"North America"
"F1221 .Z3 E53 1986","Main Collection Storage","azu",1986.0,"The myth of ritual : a native's ethnography of Zapotec life-crisis rituals /",35.0,"North America"
"F1219.1.M53 G5","3rd Floor","cau",1964.0,"The Aztecs under Spanish rule : a history of the Indians of the Valley of Mexico, 1519-1810 /",57.0,"North America"
"F1418 .L69 1987","Main Collection Storage","mdu",1987.0,"Partners in conflict, the United States and Latin America /",34.0,"North America"
"F1219.1.O11 C44 1989","Main Collection Storage","oku",1989.0,"Conquest of the Sierra : Spaniards and Indians in Colonial Oaxaca /",32.0,"North America"
"F1408.3 .K443 1984","Main Collection Storage","mau",1984.0,"A short history of Latin America /",37.0,"North America"
"F1226 .M54 1991","3rd Floor","nyu",1991.0,"The course of Mexican history /",30.0,"North America"
"F1210 .P27 1993","3rd Floor","mx",1993.0,"El patrimonio cultural de Me?xico /",28.0,"North America"
"F1219.76.M43 O78 1990","3rd Floor","nju",1990.0,"Aztec medicine, health, and nutrition /",31.0,"North America"
"F2848 .R6613 2013","3rd Floor","pau",2013.0,"A history of Argentina in the twentieth century /",8.0,"North America"
"F1231.5 .R87 1998","3rd Floor","ncu",1998.0,"Rural revolt in Mexico : U.S. intervention and the domain of subaltern politics /",23.0,"North America"
"F1226 .S5413 1969","Main Collection Storage","txu",1969.0,"The political evolution of the Mexican people /",52.0,"North America"
"F1219.3.A85 A9","3rd Floor","txu",1980.0,"Skywatchers of ancient Mexico /",41.0,"North America"
"F2986 .C453 2010","3rd Floor","nyu",2010.0,"European encounters with the Yamana people of Cape Horn, before and after Darwin /",11.0,"North America"
"F1215 .D93","Main Collection Storage","fr",1884.0,"Le Mexique aujourd'hui: impressions et souvenirs de voyage,",137.0,"Europe"
"F1226 .H85 2003","3rd Floor","deu",2003.0,"The human tradition in Mexico /",18.0,"North America"
"F1435.3 .A6 A52","3rd Floor","oku",1975.0,"Maya cities: placemaking and urbanization /",46.0,"North America"
"F1466.7 .P35 1987","3rd Floor","enk",1987.0,"Guatemala : false hope, false freedom : the rich, the poor, and the Christian Democrats /",34.0,"Europe"
"F1234 .V728813","3rd Floor","txu",1973.0,"Twenty episodes in the life of Pancho Villa,",48.0,"North America"
"F1219.8.Z37 G34 1978","3rd Floor","mx",1978.0,"El sen?or 9 Flor en Zaachila /",43.0,"North America"
"F1219 .B5313","Main Collection Storage","nyu",1968.0,"3000 years of art and life in Mexico : as seen in the National Museum of Anthropology, Mexico City. /",53.0,"North America"
"F2847 .M3","Main Collection Storage","mau",1957.0,"Argentina, the United States, and the Inter-American system, 1880-1914 /",64.0,"North America"
"F2271 .S245 2002","3rd Floor","nyu",2002.0,"Colombia : fragmented land, divided society /",19.0,"North America"
"F1226 .H57 1978","3rd Floor","mx",1978.0,"Historia de Me?xico /",43.0,"North America"
"F3126 .R53 2013","3rd Floor","pau",2013.0,"Race and the Chilean miracle : neoliberalism, democracy, and indigenous rights /",8.0,"North America"
"F1230 .C9216 1966","3rd Floor","cau",1966.0,"Corte?s : the life of the conqueror by his secretary /",55.0,"North America"
"F1219 .V75","3rd Floor","cau",1974.0,"The shaft tomb figures of west Mexico /",47.0,"North America"
"F1411 .C4275 1971","3rd Floor","nyu",1971.0,"History of the Indies.",50.0,"North America"
"F1408.3 .S73 1998","3rd Floor","nmu",1998.0,"The riddle of Cantinflas : essays on Hispanic popular culture /",23.0,"North America"
"F1386.3 .C66 1994","3rd Floor","wiu",1994.0,"The limits of racial domination : plebeian society in colonial Mexico City, 1660-1720 /",27.0,"North America"
"F1412 .S25","Main Collection Storage","cau",1913.0,"The viceroy of New Spain /",108.0,"North America"
"F2849 .B34","3rd Floor","nyu",1968.0,"Why Pero?n came to power : the background to Peronism in Argentina /",53.0,"North America"
"F1410 .C1834 1984","Main Collection Storage","enk",2008.0,"The Cambridge history of Latin America /",13.0,"Europe"
"F1230 .B79 1966","3rd Floor","nyu",1966.0,"Religious aspects of the conquest of Mexico,",55.0,"North America"
"F1488.3 .T68 1997","3rd Floor","nyu",1997.0,"El Salvador /",24.0,"North America"
"F1435.3.E72 A76 2013","3rd Floor","cou",2013.0,"Elusive unity : factionalism and the limits of identity politics in Yucata?n, Mexico /",8.0,"North America"
"F1408.3 .L48 1993","3rd Floor","mx",1993.0,"La expresio?n americana /",28.0,"North America"
"F3100 .C426 1982","Main Collection Storage","nyu",1982.0,"The murder of Chile : eyewitness accounts of the coup, the terror, and the resistance today /",39.0,"North America"
"F1488.3 .E37 1988","3rd Floor","dcu",1988.0,"El Salvador at war : an oral history of conflict from the 1979 insurrection to the present /",33.0,"North America"
"F1234 .M244 1955","3rd Floor","nyu",1955.0,"Francisco I. Madero : apostle of Mexican democracy /",66.0,"North America"
"F1414.2 .W75 1991","3rd Floor","nyu",1991.0,"Latin America in the era of the Cuban Revolution /",30.0,"North America"
"F1306 .S73 1969","3rd Floor","nyu",1969.0,"The anatomy of eleven towns in Michoaca?n /",52.0,"North America"
"F1418 .G78","Main Collection Storage","txu",1976.0,"The Latin American policy of Warren G. Harding /",45.0,"North America"
"F3319.1 .P6 C65 1985","Main Collection Storage","cau",1985.0,"The Potosi? mita, 1573-1700 : compulsory Indian labor in the Andes /",36.0,"North America"
"F2230.1 .R3 O8 1986","Main Collection Storage","nyu",1986.0,"South American mythology /",35.0,"North America"
"F1219 .M38","Main Collection Storage","mx",1961.0,"Canto, danza y mu?sica precortesianos.",60.0,"North America"
"F1418 .F676 1988","3rd Floor","mau",1988.0,"U.S. labor movement and Latin America : a history of workers' response to intervention /",33.0,"North America"
"F1219.3 .R38 L4","3rd Floor","mx",1968.0,"Quetzalco?atl /",53.0,"North America"
"F1938.55 .L368 1995","3rd Floor","dr",1995.0,"De poli?tica dominicana e internacional y desarrollo humano /",26.0,"West Indies"
"F1227.5 .S56 2008","3rd Floor","mx",2008.0,"Estudios militares mexicanos, V Simposio Internacional de Historia Militar : la transcendencia de las fuerzas armadas /",13.0,"North America"
"F1219 .S7253","Main Collection Storage","ohu",1967.0,"Mexico /",54.0,"North America"
"F1090.5 .F73 1986","Main Collection Storage","abc",1986.0,"Discovery of the North : the exploration of Canada's Arctic /",35.0,"North America"
"F1219 .C75 1958","Main Collection Storage","mx",1945.0,"Historia antigua de Me?xico.",76.0,"North America"
"F1411 .C4764513 1995","3rd Floor","mou",1995.0,"Indian freedom : the cause of Bartolome? de las Casas, 1484-1566 : a reader /",26.0,"North America"
"F1915 Z9 C46 1983","3rd Floor","enk",1983.0,"Haiti /",38.0,"Europe"
"F2056.8 .D63 1984","Main Collection Storage","pr",1984.0,"Documents on the invasion of Grenada, October 1983 /",37.0,"West Indies"
"F3736 .S64 1987","Main Collection Storage","vau",1987.0,"Nineteenth century Ecuador : a historical introduction /",34.0,"North America"
"F1788 .M57513","3rd Floor","nju",1981.0,"Secret report on the Cuban revolution /",40.0,"North America"
"F1219.1.C65 R65 2005","3rd Floor","mx",2005.0,"Los restos o?seos humanos de la cueva de La Candelaria, Coahuila : craneologi?a /",16.0,"North America"
"F1219 .S68","Main Collection Storage","cau",1976.0,"Sources of stones used in prehistoric Mesoamerican sites.",45.0,"North America"
"F3444.G3 G37 1998","3rd Floor","inu",1998.0,"Garcilaso Inca de la Vega : an American humanist : a tribute to Jose? Durand /",23.0,"North America"
"F1246 .B213 1981","3rd Floor","cau",1981.0,"Ethnology and linguistics of Baja California /",40.0,"North America"
"F1439.5 .P67 1990","3rd Floor","pau",1990.0,"How holocausts happen : the United States in Central America /",31.0,"North America"
"F1219.3 .S57 T39","3rd Floor","cau",1979.0,"Drinking, homicide & rebellion in colonial Mexican villages /",42.0,"North America"
"F2319.2.Y4 G87 1989","Main Collection Storage","cau",1989.0,"To weave and sing : art, symbol, and narrative in the South American rain forest /",32.0,"North America"
"F1210 .M5 1979","3rd Floor","mau",1979.0,"USA-Mexico culture capsules /",42.0,"North America"
"F3611.C9 B87 1999","3rd Floor","ncu",1999.0,"Colonial habits : convents and the spiritual economy of Cuzco, Peru /",22.0,"North America"
"F1391.T6 G18","Main Collection Storage","mx",1970.0,"Cosas de Toluca /",51.0,"North America"
"F3601.3 .O86 2008","3rd Floor","nyu",2008.0,"Inventing Lima : Baroque modernity in Peru's south sea metropolis /",13.0,"North America"
"F1621 .P33","3rd Floor","enk",1965.0,"A short history of the West Indies /",56.0,"Europe"
